Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD024-0003637,SYNLCPLD024-0003637,,,,,,,,,,Yes,,
SYNLCPLD024-0003641,SYNLCPLD024-0003642,,,,,,,,,,,Yes,
SYNLCPLD024-0003645,SYNLCPLD024-0003647,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003649,SYNLCPLD024-0003649,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0003653,SYNLCPLD024-0003654,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003657,SYNLCPLD024-0003659,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0003661,SYNLCPLD024-0003661,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0003665,SYNLCPLD024-0003666,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0003669,SYNLCPLD024-0003671,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003673,SYNLCPLD024-0003673,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003677,SYNLCPLD024-0003678,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0003681,SYNLCPLD024-0003683,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003685,SYNLCPLD024-0003685,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0003689,SYNLCPLD024-0003690,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003693,SYNLCPLD024-0003695,,,,,,,,,,,,Yes
SYNLCPLD024-0003697,SYNLCPLD024-0003697,Yes,,,,,,,,,,,
SYNLCPLD024-0003701,SYNLCPLD024-0003702,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003705,SYNLCPLD024-0003707,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0003709,SYNLCPLD024-0003709,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003713,SYNLCPLD024-0003714,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0003717,SYNLCPLD024-0003719,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003721,SYNLCPLD024-0003721,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003725,SYNLCPLD024-0003726,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003729,SYNLCPLD024-0003731,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003733,SYNLCPLD024-0003733,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0003737,SYNLCPLD024-0003738,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003741,SYNLCPLD024-0003743,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0003745,SYNLCPLD024-0003745,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003749,SYNLCPLD024-0003750,,Yes,,,,,,,,,,
SYNLCPLD024-0003753,SYNLCPLD024-0003755,,,Yes,,,,,,,,,
SYNLCPLD024-0003757,SYNLCPLD024-0003757,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003761,SYNLCPLD024-0003762,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0003765,SYNLCPLD024-0003767,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003769,SYNLCPLD024-0003769,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0003773,SYNLCPLD024-0003774,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003777,SYNLCPLD024-0003779,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003781,SYNLCPLD024-0003781,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003785,SYNLCPLD024-0003786,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0003789,SYNLCPLD024-0003791,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0003793,SYNLCPLD024-0003793,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003797,SYNLCPLD024-0003798,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0003801,SYNLCPLD024-0003803,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003805,SYNLCPLD024-0003805,,,,Yes,,,,,,,,
SYNLCPLD024-0003809,SYNLCPLD024-0003810,,,,,Yes,,,,,,,
SYNLCPLD024-0003813,SYNLCPLD024-0003815,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003817,SYNLCPLD024-0003817,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0003821,SYNLCPLD024-0003822,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003825,SYNLCPLD024-0003827,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0003829,SYNLCPLD024-0003829,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003833,SYNLCPLD024-0003834,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0003837,SYNLCPLD024-0003839,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003841,SYNLCPLD024-0003841,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003845,SYNLCPLD024-0003846,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0003849,SYNLCPLD024-0003851,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003853,SYNLCPLD024-0003853,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0003857,SYNLCPLD024-0003858,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003861,SYNLCPLD024-0003863,,,,,,Yes,,,,,,
SYNLCPLD024-0003865,SYNLCPLD024-0003865,,,,,,,Yes,,,,,
SYNLCPLD024-0003869,SYNLCPLD024-0003870,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003873,SYNLCPLD024-0003875,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0003877,SYNLCPLD024-0003877,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003881,SYNLCPLD024-0003882,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0003885,SYNLCPLD024-0003887,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003889,SYNLCPLD024-0003889,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003893,SYNLCPLD024-0003894,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003897,SYNLCPLD024-0003899,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003901,SYNLCPLD024-0003901,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0003905,SYNLCPLD024-0003906,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003909,SYNLCPLD024-0003911,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0003913,SYNLCPLD024-0003913,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003917,SYNLCPLD024-0003918,,,,,,,,Yes,,,,
SYNLCPLD024-0003921,SYNLCPLD024-0003923,,,,,,,,,Yes,,,
SYNLCPLD024-0003925,SYNLCPLD024-0003925,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0003929,SYNLCPLD024-0003930,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0003933,SYNLCPLD024-0003935,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003937,SYNLCPLD024-0003937,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0003941,SYNLCPLD024-0003942,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003945,SYNLCPLD024-0003947,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003949,SYNLCPLD024-0003949,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003953,SYNLCPLD024-0003954,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003957,SYNLCPLD024-0003959,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0003961,SYNLCPLD024-0003961,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003965,SYNLCPLD024-0003966,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0003969,SYNLCPLD024-0003971,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0003973,SYNLCPLD024-0003973,,,,,,,,,,Yes,,
SYNLCPLD024-0003977,SYNLCPLD024-0003978,,,,,,,,,,,Yes,
SYNLCPLD024-0003981,SYNLCPLD024-0003983,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003985,SYNLCPLD024-0003985,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0003989,SYNLCPLD024-0003990,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003993,SYNLCPLD024-0003995,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0003997,SYNLCPLD024-0003997,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004001,SYNLCPLD024-0004002,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004005,SYNLCPLD024-0004007,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004009,SYNLCPLD024-0004009,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0004013,SYNLCPLD024-0004014,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0004017,SYNLCPLD024-0004019,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0004021,SYNLCPLD024-0004021,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0004025,SYNLCPLD024-0004026,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0004029,SYNLCPLD024-0004031,,,,,,,,,,,,Yes
SYNLCPLD024-0004033,SYNLCPLD024-0004033,Yes,,,,,,,,,,,
SYNLCPLD024-0004037,SYNLCPLD024-0004038,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004041,SYNLCPLD024-0004043,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0004045,SYNLCPLD024-0004045,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004049,SYNLCPLD024-0004050,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0004053,SYNLCPLD024-0004055,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0004057,SYNLCPLD024-0004057,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0004061,SYNLCPLD024-0004062,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0004065,SYNLCPLD024-0004067,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0004069,SYNLCPLD024-0004069,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0004073,SYNLCPLD024-0004074,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0004077,SYNLCPLD024-0004079,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0004081,SYNLCPLD024-0004081,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004085,SYNLCPLD024-0004086,,Yes,,,,,,,,,,
SYNLCPLD024-0004089,SYNLCPLD024-0004091,,,Yes,,,,,,,,,
SYNLCPLD024-0004093,SYNLCPLD024-0004093,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004097,SYNLCPLD024-0004098,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0004101,SYNLCPLD024-0004103,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0004105,SYNLCPLD024-0004105,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0004109,SYNLCPLD024-0004110,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0004113,SYNLCPLD024-0004115,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0004117,SYNLCPLD024-0004117,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0004121,SYNLCPLD024-0004122,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004125,SYNLCPLD024-0004127,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0004129,SYNLCPLD024-0004129,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004133,SYNLCPLD024-0004134,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0004137,SYNLCPLD024-0004139,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004141,SYNLCPLD024-0004141,,,,Yes,,,,,,,,
SYNLCPLD024-0004145,SYNLCPLD024-0004146,,,,,Yes,,,,,,,
SYNLCPLD024-0004149,SYNLCPLD024-0004151,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0004153,SYNLCPLD024-0004153,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0004157,SYNLCPLD024-0004158,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0004161,SYNLCPLD024-0004163,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0004165,SYNLCPLD024-0004165,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0004169,SYNLCPLD024-0004170,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004173,SYNLCPLD024-0004175,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004177,SYNLCPLD024-0004177,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0004181,SYNLCPLD024-0004182,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0004185,SYNLCPLD024-0004187,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0004189,SYNLCPLD024-0004189,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0004193,SYNLCPLD024-0004194,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0004197,SYNLCPLD024-0004199,,,,,,Yes,,,,,,
SYNLCPLD024-0004201,SYNLCPLD024-0004201,,,,,,,Yes,,,,,
SYNLCPLD024-0004205,SYNLCPLD024-0004206,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0004209,SYNLCPLD024-0004211,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0004213,SYNLCPLD024-0004213,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0004217,SYNLCPLD024-0004218,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0004221,SYNLCPLD024-0004223,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0004225,SYNLCPLD024-0004225,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0004229,SYNLCPLD024-0004230,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0004233,SYNLCPLD024-0004235,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0004237,SYNLCPLD024-0004237,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0004241,SYNLCPLD024-0004242,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0004245,SYNLCPLD024-0004247,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0004249,SYNLCPLD024-0004249,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0004253,SYNLCPLD024-0004254,,,,,,,,Yes,,,,
SYNLCPLD024-0004257,SYNLCPLD024-0004259,,,,,,,,,Yes,,,
SYNLCPLD024-0004261,SYNLCPLD024-0004261,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0004265,SYNLCPLD024-0004266,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0004269,SYNLCPLD024-0004271,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0004273,SYNLCPLD024-0004273,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0004277,SYNLCPLD024-0004278,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0004281,SYNLCPLD024-0004283,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0004285,SYNLCPLD024-0004285,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0004289,SYNLCPLD024-0004290,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0004293,SYNLCPLD024-0004295,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0004297,SYNLCPLD024-0004297,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0004301,SYNLCPLD024-0004302,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0004305,SYNLCPLD024-0004307,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0004309,SYNLCPLD024-0004309,,,,,,,,,,Yes,,
SYNLCPLD024-0004313,SYNLCPLD024-0004314,,,,,,,,,,,Yes,
SYNLCPLD024-0004317,SYNLCPLD024-0004319,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0004321,SYNLCPLD024-0004321,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0004325,SYNLCPLD024-0004326,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0004329,SYNLCPLD024-0004331,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0004333,SYNLCPLD024-0004333,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004337,SYNLCPLD024-0004338,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004341,SYNLCPLD024-0004343,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004345,SYNLCPLD024-0004345,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0004349,SYNLCPLD024-0004350,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0004353,SYNLCPLD024-0004355,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0004357,SYNLCPLD024-0004357,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0004361,SYNLCPLD024-0004362,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0004365,SYNLCPLD024-0004367,,,,,,,,,,,,Yes
SYNLCPLD024-0004369,SYNLCPLD024-0004369,Yes,,,,,,,,,,,
SYNLCPLD024-0004373,SYNLCPLD024-0004374,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004377,SYNLCPLD024-0004379,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0004381,SYNLCPLD024-0004381,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004385,SYNLCPLD024-0004386,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0004389,SYNLCPLD024-0004391,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0004393,SYNLCPLD024-0004393,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0004397,SYNLCPLD024-0004398,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0004401,SYNLCPLD024-0004403,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0004405,SYNLCPLD024-0004405,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0004409,SYNLCPLD024-0004410,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0004413,SYNLCPLD024-0004415,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0004417,SYNLCPLD024-0004417,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004421,SYNLCPLD024-0004422,,Yes,,,,,,,,,,
SYNLCPLD024-0004425,SYNLCPLD024-0004427,,,Yes,,,,,,,,,
SYNLCPLD024-0004429,SYNLCPLD024-0004429,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004433,SYNLCPLD024-0004434,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0004437,SYNLCPLD024-0004439,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0004441,SYNLCPLD024-0004441,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0004445,SYNLCPLD024-0004446,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0004449,SYNLCPLD024-0004451,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0004453,SYNLCPLD024-0004453,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0004457,SYNLCPLD024-0004458,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004461,SYNLCPLD024-0004463,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0004465,SYNLCPLD024-0004465,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004469,SYNLCPLD024-0004470,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0004473,SYNLCPLD024-0004475,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004477,SYNLCPLD024-0004477,,,,Yes,,,,,,,,
SYNLCPLD024-0004481,SYNLCPLD024-0004482,,,,,Yes,,,,,,,
SYNLCPLD024-0004485,SYNLCPLD024-0004487,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0004489,SYNLCPLD024-0004489,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0004493,SYNLCPLD024-0004494,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0004497,SYNLCPLD024-0004499,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0004501,SYNLCPLD024-0004501,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0004505,SYNLCPLD024-0004506,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004509,SYNLCPLD024-0004511,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004513,SYNLCPLD024-0004513,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0004517,SYNLCPLD024-0004518,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0004521,SYNLCPLD024-0004523,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0004525,SYNLCPLD024-0004525,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0004529,SYNLCPLD024-0004530,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0004533,SYNLCPLD024-0004535,,,,,,Yes,,,,,,
SYNLCPLD024-0004537,SYNLCPLD024-0004537,,,,,,,Yes,,,,,
SYNLCPLD024-0004541,SYNLCPLD024-0004542,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0004545,SYNLCPLD024-0004547,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0004549,SYNLCPLD024-0004549,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0004553,SYNLCPLD024-0004554,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0004557,SYNLCPLD024-0004559,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0004561,SYNLCPLD024-0004561,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0004565,SYNLCPLD024-0004566,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0004569,SYNLCPLD024-0004571,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0004573,SYNLCPLD024-0004573,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0004577,SYNLCPLD024-0004578,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0004581,SYNLCPLD024-0004583,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0004585,SYNLCPLD024-0004585,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0004589,SYNLCPLD024-0004590,,,,,,,,Yes,,,,
SYNLCPLD024-0004593,SYNLCPLD024-0004595,,,,,,,,,Yes,,,
SYNLCPLD024-0004597,SYNLCPLD024-0004597,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0004601,SYNLCPLD024-0004602,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0004605,SYNLCPLD024-0004607,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0004609,SYNLCPLD024-0004609,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0004613,SYNLCPLD024-0004614,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0004617,SYNLCPLD024-0004619,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0004621,SYNLCPLD024-0004621,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0004625,SYNLCPLD024-0004626,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0004629,SYNLCPLD024-0004631,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0004633,SYNLCPLD024-0004633,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0004637,SYNLCPLD024-0004638,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0004641,SYNLCPLD024-0004643,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0004645,SYNLCPLD024-0004645,,,,,,,,,,Yes,,
SYNLCPLD024-0004649,SYNLCPLD024-0004650,,,,,,,,,,,Yes,
SYNLCPLD024-0004653,SYNLCPLD024-0004655,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0004657,SYNLCPLD024-0004657,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0004661,SYNLCPLD024-0004662,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0004665,SYNLCPLD024-0004667,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0004669,SYNLCPLD024-0004669,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004673,SYNLCPLD024-0004674,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004677,SYNLCPLD024-0004679,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004681,SYNLCPLD024-0004681,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0004685,SYNLCPLD024-0004686,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0004689,SYNLCPLD024-0004691,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0004693,SYNLCPLD024-0004693,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0004697,SYNLCPLD024-0004698,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0004701,SYNLCPLD024-0004703,,,,,,,,,,,,Yes
SYNLCPLD024-0004705,SYNLCPLD024-0004705,Yes,,,,,,,,,,,
SYNLCPLD024-0004709,SYNLCPLD024-0004710,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004713,SYNLCPLD024-0004715,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0004717,SYNLCPLD024-0004717,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004721,SYNLCPLD024-0004722,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0004725,SYNLCPLD024-0004727,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0004729,SYNLCPLD024-0004729,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0004733,SYNLCPLD024-0004734,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0004737,SYNLCPLD024-0004739,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0004741,SYNLCPLD024-0004741,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0004745,SYNLCPLD024-0004746,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0004749,SYNLCPLD024-0004751,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0004753,SYNLCPLD024-0004753,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0004757,SYNLCPLD024-0004758,,Yes,,,,,,,,,,
SYNLCPLD024-0004761,SYNLCPLD024-0004763,,,Yes,,,,,,,,,
SYNLCPLD024-0004765,SYNLCPLD024-0004765,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004769,SYNLCPLD024-0004770,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0004773,SYNLCPLD024-0004775,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0004777,SYNLCPLD024-0004777,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0004781,SYNLCPLD024-0004782,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0004785,SYNLCPLD024-0004787,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0004789,SYNLCPLD024-0004789,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0004793,SYNLCPLD024-0004794,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0004797,SYNLCPLD024-0004799,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0004801,SYNLCPLD024-0004801,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0004805,SYNLCPLD024-0004806,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0004809,SYNLCPLD024-0004811,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0004813,SYNLCPLD024-0004813,,,,Yes,,,,,,,,
SYNLCPLD024-0004817,SYNLCPLD024-0004818,,,,,Yes,,,,,,,
SYNLCPLD024-0004821,SYNLCPLD024-0004823,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0004825,SYNLCPLD024-0004825,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0004829,SYNLCPLD024-0004830,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0004833,SYNLCPLD024-0004835,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0004837,SYNLCPLD024-0004837,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0004841,SYNLCPLD024-0004842,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0004845,SYNLCPLD024-0004847,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0004849,SYNLCPLD024-0004849,Yes,,,,,Yes,,,,,,
